TARGET	POS	INDEX	TEXT	MEAN
affascinare	V	8	Guardati i piedi o fai finta di essere affascinata dalla copertina del tuo libro . 	2.39
affascinare	V	1	Sei affascinato dal funzionamento della mente umana ? 	2.03
amore	N	5	Pensa ai tuoi sentimenti di amore , passione e la sessualità . 	2.71
amore	N	7	Quasi tutti sono in grado di ricevere amore e gentilezza . 	2.16
aria	N	4	Accendi il condizionatore sull’ aria fredda ma non attivare la funzione di ricircolo . 	5.68
aria	N	4	Chi vuole darsi delle arie di superiorità usa tono accondiscendente e battute dello stesso tipo . 	1.90
arte	N	10	Osserva come lo zentangle si differenzia dalle altre forme d’ arte visiva . 	3.35
arte	N	7	Tirare su il prezzo è una vera arte , dunque inizia a coltivarla sin da ora . 	2.03
automobile	N	13	Attualmente la forma più comune di inquinamento acustico deriva dai trasporti , soprattutto automobili , motociclette e aeroplano . 	6.58
automobile	N	2	Guidare un’ automobile è una delle cose potenzialmente più pericolose che si possa fare . 	6.26
bambino	N	2	Adulti e bambini devono avere il passaporto per espatriare anche via mare o terra . 	6.10
bambino	N	7	Prima della data prevista della nascita del bambino , devi stabilire chi sarà presente per aiutarti . 	6.68
campione	N	3	Generalmente , un campione di sangue verrà sottoposto a diversi esami differenti , oltre a quello per il colesterolo . 	6.13
campione	N	2	Osservare un campione al microscopio permette di focalizzarlo meglio e di analizzarlo in modo più particolareggiato . 	6.03
casa	N	12	Prepara una cenetta romantica oppure prendi delle pietanze da asporto tornando a casa . 	6.52
casa	N	4	Tenere una volpe in casa è illegale in molti Paesi . 	5.97
città	N	8	Aggiungi i dati su lavoro , istruzione , città in cui vivi , etc. 	5.77
città	N	4	Nella maggior parte delle città troverai piste ciclabili . 	6.23
colpa	N	3	Non sentirti in colpa per il fatto di goderti la vita . 	2.00
colpa	N	5	Preparati a prenderti tutta la colpa e nessun merito . 	2.26
concentrare	V	10	Inizia con dei massaggi di 30 minuti alla gamba , concentrandoti sui muscoli anteriori e posteriori della coscia . 	3.03
concentrare	V	11	Invece di cercare di sviluppare decine di poteri psichici simultaneamente , concentrati su una abilità alla volta . 	2.71
corpo	N	1	Il corpo umano è abitudinario e rispetta dei ritmi biologici ben precisi . 	6.23
corpo	N	6	Quando ci prendiamo cura del nostro corpo , miglioriamo il nostro stato emotivo e psicologico . 	6.13
cucinare	V	0	cucinare è qualcosa che può fare praticamente chiunque . 	6.03
cucinare	V	6	Se la ricetta ti indica di cucinare il pollo non spellato , è quello che devi fare . 	6.42
danneggiare	V	6	Dovrai sbarazzarti di alcuni pensieri che danneggiano la tua autostima . 	2.06
danneggiare	V	6	Un eccessivo consumo di alcool può danneggiare i vasi sanguigni della pelle . 	5.52
detestare	V	4	Generalmente , i dipendenti detestano i meeting eccessivamente lunghi , e a ragione . 	2.61
detestare	V	9	Se lei ti piace e vuoi che smetta di detestarti , devi scusarti . 	2.45
disturbare	V	4	Avere lo stomaco pieno disturba il riposo . 	4.10
disturbare	V	12	Le radici delle piante sono piuttosto superficiali perciò quando scavi fallo senza disturbare o danneggiare le radici . 	4.16
donna	N	7	Scegli un fiore in armonia con la donna che lo indosserà e col suo abito . 	5.74
donna	N	8	Un sari è un abito tradizionale indossato dalle donne indiane . 	6.39
elemento	N	10	Il migliore fissaggio prevede che i supporti siano agganciati ad elementi strutturali . 	5.81
